player_id,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk
76006,0.0,,,,
76008,1.4333333333333333,,,,
76020,3.3037974683544302,5.384615384615385,0.16666666666666666,,
76034,4.290322580645161,2.6666666666666665,0.6666666666666666,,
76049,3.0,,,,
76053,7.142857142857143,5.5,,,
76054,38.0,,,,
76056,22.84251968503937,8.49056603773585,2.38125,0.0,0.0
76060,5.2926829268292686,,,,
76061,1.4,,,,
76062,4.741935483870968,,,,
76063,3.7583333333333333,,3.0,,
76068,0.7142857142857143,,,,
76069,3.341463414634146,,,,
76070,9.80281690140845,2.9220779220779223,2.4074074074074074,0.0,0.0
76078,9.0,,,,
76081,9.846153846153847,1.5,0.0,,
76096,1.4,0.0,,,
76098,3.117021276595745,,5.0,,
76102,10.797101449275363,3.0,1.0,,
76105,15.385321100917432,,,,
76107,17.12128146453089,2.8780487804878048,3.088888888888889,0.0,0.0
76108,8.433884297520661,6.0,3.0,,
76110,10.301075268817204,,2.0,,
76114,4.737226277372263,,,,
76117,4.5,,,,
76127,29.667235494880547,15.86046511627907,3.823529411764706,0.0,0.0
76129,2.1818181818181817,,,,
76131,17.307692307692307,3.0,2.0,,
76133,13.927007299270073,14.0,,,
76136,6.344473007712082,2.0454545454545454,1.0746268656716418,,
76141,4.0,,,,
76143,5.083333333333333,2.6666666666666665,2.142857142857143,,
76144,26.768392370572208,7.5,0.8333333333333334,,
76145,6.143939393939394,3.0,,,
76156,1.6,0.0,,,
76160,8.213235294117647,1.8333333333333333,2.193548387096774,0.0,0.0
76164,2.0,,,,
76168,2.272727272727273,,,,
76173,1.3076923076923077,,,,
76182,3.342857142857143,2.0,,,
76190,4.831325301204819,,1.0,,
76191,11.473895582329318,5.65,2.966666666666667,0.0,0.0
76196,2.8,,,,
76197,1.0,,,,
76201,6.75,,,,
76203,1.3333333333333333,,,,
76206,13.020044543429844,5.956521739130435,0.8095238095238095,0.0,0.0
76209,3.764705882352941,,,,
76210,11.437246963562753,2.0,2.3529411764705883,,
76214,8.092198581560284,,,,
76224,6.9361702127659575,,,,
76227,3.5714285714285716,,,,
76238,6.243333333333333,,0.0,,
76240,1.0,,,,
76241,4.523809523809524,,,,
76243,13.100931677018634,3.2,3.4705882352941178,,
76245,2.4705882352941178,,,,
76246,0.9090909090909091,,,,
76250,11.172151898734176,6.0,2.0,,
76253,10.102880658436215,,2.0,,
76273,1.0,,,,
76285,3.375,,0.5,,
76289,4.871287128712871,,,,
76293,6.1940298507462686,4.0,,,
76295,6.276923076923077,8.0,0.0,,
76297,7.120689655172414,6.4,0.8823529411764706,0.0,0.0
76298,5.7890625,,1.0,,
76301,3.3333333333333335,,,,
76302,8.6,,4.0,,
